branch,geometry,xc,pseudopotentials,contribution,i,j,k,raw_value_Ry_au,qe_definition
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,y,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,y,y,-395.483284875,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,y,z,-5.8e-08,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,z,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,z,y,-5.8e-08,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,z,z,-367.245741967,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,x,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,x,y,195.918921788,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,x,z,-414.928998794,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,y,x,195.918921788,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,y,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,y,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,z,x,-414.928998794,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,z,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,z,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,x,x,195.918921788,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,x,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,x,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,y,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,y,y,-195.918921835,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,y,z,-414.928998923,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,z,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,z,y,-414.928998923,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,z,z,-6.1e-08,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,x,x,-414.928998794,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,x,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,x,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,y,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,y,y,-414.928998923,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,y,z,-6.1e-08,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,z,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,z,y,-6.1e-08,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,z,z,-384.292392235,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,x,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,x,y,57.839754288,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,x,z,19.445714052,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,y,x,57.839754288,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,y,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,y,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,z,x,19.445714052,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,z,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,z,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,x,x,57.839754288,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,x,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,x,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,y,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,y,y,-57.839754301,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,y,z,19.445714048,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,z,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,z,y,19.445714048,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,z,z,3e-09,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,x,x,19.445714052,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,x,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,x,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,y,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,y,y,19.445714048,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,y,z,3e-09,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,z,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,z,y,3e-09,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,z,z,17.046650268,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,x,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,x,y,361.224492105,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,x,z,-393.66434448,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,y,x,361.224492105,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,y,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,y,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,z,x,-393.66434448,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,z,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,z,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,x,x,361.224492105,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,x,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,x,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,y,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,y,y,-361.224492097,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,y,z,-393.664344471,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,z,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,z,y,-393.664344471,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,z,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,x,x,-393.66434448,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,x,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,x,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,y,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,y,y,-393.664344471,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,y,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,z,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,z,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,z,z,-238.353791917,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,x,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,x,y,298.023968372,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,x,z,-429.707166613,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,y,x,298.023968372,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,y,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,y,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,z,x,-429.707166613,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,z,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,z,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,x,x,298.023968372,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,x,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,x,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,y,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,y,y,-298.023968365,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,y,z,-429.707166603,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,z,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,z,y,-429.707166603,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@B0-geometry,"B0 (DEL A/B original, unrelaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,z,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
